seq,10,0.000002
seq,20,0.000001
seq,50,0.000004
seq,100,0.000009
seq,200,0.000020
seq,500,0.000055
seq,1000,0.000120
seq,2000,0.000261
seq,5000,0.000714
seq,10000,0.001521
seq,20000,0.003250
seq,200000,0.032350
seq,2000000,0.242995
seq,20000000,2.144273
seq,75000000,8.603048
2,10,0.000002
2,20,0.000001
2,50,0.000002
2,100,0.003121
2,200,0.000443
2,500,0.000767
2,1000,0.000666
2,2000,0.001213
2,5000,0.001222
2,10000,0.001584
2,20000,0.003561
2,200000,0.023870
2,2000000,0.201546
2,20000000,1.556438
2,75000000,5.945233
4,10,0.000001
4,20,0.000000
4,50,0.000001
4,100,0.002017
4,200,0.000317
4,500,0.000513
4,1000,0.000607
4,2000,0.000565
4,5000,0.000815
4,10000,0.000904
4,20000,0.002538
4,200000,0.010363
4,2000000,0.088299
4,20000000,0.823513
4,75000000,3.568761
8,10,0.000001
8,20,0.000001
8,50,0.000001
8,100,0.002371
8,200,0.000112
8,500,0.000463
8,1000,0.000846
8,2000,0.000480
8,5000,0.000812
8,10000,0.000883
8,20000,0.002593
8,200000,0.007463
8,2000000,0.066784
8,20000000,0.562048
8,75000000,2.209913
16,10,0.000002
16,20,0.000001
16,50,0.000002
16,100,0.003288
16,200,0.000181
16,500,0.000387
16,1000,0.000561
16,2000,0.000591
16,5000,0.001226
16,10000,0.001861
16,20000,0.001959
16,200000,0.007464
16,2000000,0.047750
16,20000000,0.319420
16,75000000,1.239446
32,10,0.000003
32,20,0.000002
32,50,0.000003
32,100,0.015328
32,200,0.000357
32,500,0.000472
32,1000,0.000737
32,2000,0.000962
32,5000,0.001691
32,10000,0.001779
32,20000,0.001753
32,200000,0.008434
32,2000000,0.037588
32,20000000,0.337379
32,75000000,1.271510
40,10,0.000002
40,20,0.000001
40,50,0.000002
40,100,0.006364
40,200,0.000317
40,500,0.000727
40,1000,0.000863
40,2000,0.001096
40,5000,0.001088
40,10000,0.001372
40,20000,0.002702
40,200000,0.005408
40,2000000,0.047636
40,20000000,0.310588
40,75000000,1.352028
