8,59049,0.003924,,,,,,,,,,,,,,,,,,,,,,,,,
8,177147,0.007838,,,,,,,,,,,,,,,,,,,,,,,,,
8,531441,0.021563,,,,,,,,,,,,,,,,,,,,,,,,,
8,1594323,0.065622,,,,,,,,,,,,,,,,,,,,,,,,,
8,4782969,0.153319,,,,,,,,,,,,,,,,,,,,,,,,,
8,14348947,0.362894,,,,,,,,,,,,,,,,,,,,,,,,,
8,43046721,1.00947,,,,,,,,,,,,,,,,,,,,,,,,,
16,3,0.000002,,,,,,,,,,,,,,,,,,,,,,,,,
16,9,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,
16,27,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,
16,81,0.002567,,,,,,,,,,,,,,,,,,,,,,,,,
16,243,0.00039,,,,,,,,,,,,,,,,,,,,,,,,,
16,729,0.000326,,,,,,,,,,,,,,,,,,,,,,,,,
16,2187,0.000863,,,,,,,,,,,,,,,,,,,,,,,,,
16,6561,0.001057,,,,,,,,,,,,,,,,,,,,,,,,,
16,19683,0.001488,,,,,,,,,,,,,,,,,,,,,,,,,
16,59049,0.007147,,,,,,,,,,,,,,,,,,,,,,,,,
16,177147,0.00868,,,,,,,,,,,,,,,,,,,,,,,,,
16,531441,0.013454,,,,,,,,,,,,,,,,,,,,,,,,,
16,1594323,0.048444,,,,,,,,,,,,,,,,,,,,,,,,,
16,4782969,0.114343,,,,,,,,,,,,,,,,,,,,,,,,,
16,14348947,0.26852,,,,,,,,,,,,,,,,,,,,,,,,,
16,43046721,0.832045,,,,,,,,,,,,,,,,,,,,,,,,,
32,3,0.000003,,,,,,,,,,,,,,,,,,,,,,,,,
32,9,0,,,,,,,,,,,,,,,,,,,,,,,,,
32,27,0,,,,,,,,,,,,,,,,,,,,,,,,,
32,81,0.005164,,,,,,,,,,,,,,,,,,,,,,,,,
32,243,0.010325,,,,,,,,,,,,,,,,,,,,,,,,,
32,729,0.000645,,,,,,,,,,,,,,,,,,,,,,,,,
32,2187,0.001356,,,,,,,,,,,,,,,,,,,,,,,,,
32,6561,0.001104,,,,,,,,,,,,,,,,,,,,,,,,,
32,19683,0.002384,,,,,,,,,,,,,,,,,,,,,,,,,
32,59049,0.004511,,,,,,,,,,,,,,,,,,,,,,,,,
32,177147,0.00558,,,,,,,,,,,,,,,,,,,,,,,,,
32,531441,0.012335,,,,,,,,,,,,,,,,,,,,,,,,,
32,1594323,0.036981,,,,,,,,,,,,,,,,,,,,,,,,,
32,4782969,0.086722,,,,,,,,,,,,,,,,,,,,,,,,,
32,14348947,0.265058,,,,,,,,,,,,,,,,,,,,,,,,,
32,43046721,0.932321,,,,,,,,,,,,,,,,,,,,,,,,,
40,3,0.000003,,,,,,,,,,,,,,,,,,,,,,,,,
40,9,0,,,,,,,,,,,,,,,,,,,,,,,,,
40,27,0.000002,,,,,,,,,,,,,,,,,,,,,,,,,
40,81,0.007031,,,,,,,,,,,,,,,,,,,,,,,,,
40,243,0.010615,,,,,,,,,,,,,,,,,,,,,,,,,
40,729,0.010632,,,,,,,,,,,,,,,,,,,,,,,,,
40,2187,0.001254,,,,,,,,,,,,,,,,,,,,,,,,,
40,6561,0.001888,,,,,,,,,,,,,,,,,,,,,,,,,
40,19683,0.002831,,,,,,,,,,,,,,,,,,,,,,,,,
40,59049,0.0063,,,,,,,,,,,,,,,,,,,,,,,,,
40,177147,0.008959,,,,,,,,,,,,,,,,,,,,,,,,,
40,531441,0.02109,,,,,,,,,,,,,,,,,,,,,,,,,
40,1594323,0.03943,,,,,,,,,,,,,,,,,,,,,,,,,
40,4782969,0.091165,,,,,,,,,,,,,,,,,,,,,,,,,
40,14348947,0.323077,,,,,,,,,,,,,,,,,,,,,,,,,
40,43046721,0.785445,,,,,,,,,,,,,,,,,,,,,,,,,
